m	p	s	samples	purity	coverage	width	ARI	RI	recall	precision
m5	mS	5	3	1.0	200	0.0386064204444	0.742118027486	0.972906403941	1.0	0.607142857143
m5	mS	5	3	1.0	500	0.02336813	0.779534210209	0.977832512315	1.0	0.653846153846
m5	mS	7	1	0.5	10000	0.00686438	0.928991258167	0.986554621849	0.951612903226	0.921875
m5	mS	7	1	0.5	1000	0.020300784	0.923860033271	0.98487394958	1.0	0.87323943662
m5	mS	7	1	0.5	200	0.0522188857143	0.772141234139	0.949579831933	0.967741935484	0.681818181818
m5	mS	7	1	0.5	500	0.0305412266667	0.873100055452	0.974789915966	0.951612903226	0.830985915493
m5	mS	7	1	0.8	10000	0.00751816666667	1.0	1.0	1.0	1.0
m5	mS	7	1	0.8	1000	0.027296025	0.858080900201	0.971428571429	0.951612903226	0.808219178082
m5	mS	7	1	0.8	200	0.0639839428571	0.815314646621	0.961344537815	0.951612903226	0.746835443038
m5	mS	7	1	0.8	500	0.0362712933333	0.873100055452	0.974789915966	0.951612903226	0.830985915493
m5	mS	7	1	1.0	10000	0.00857018181818	0.97240217072	0.994957983193	0.951612903226	1.0
m5	mS	7	1	1.0	1000	0.0291732	0.836282090086	0.966386554622	0.951612903226	0.776315789474
m5	mS	7	1	1.0	200	0.0689032285714	0.815314646621	0.961344537815	0.951612903226	0.746835443038
m5	mS	7	1	1.0	500	0.0411133	0.836282090086	0.966386554622	0.951612903226	0.776315789474
m5	mS	7	2	0.5	10000	0.00641917545455	0.97240217072	0.994957983193	0.951612903226	1.0
m5	mS	7	2	0.5	1000	0.0185360945455	0.956535713764	0.991596638655	1.0	0.925373134328
m5	mS	7	2	0.5	200	0.0398568754545	0.931863727455	0.986554621849	1.0	0.885714285714
m5	mS	7	2	0.5	500	0.0256541145455	0.956535713764	0.991596638655	1.0	0.925373134328
m5	mS	7	2	0.8	10000	0.00694583333333	0.97240217072	0.994957983193	0.951612903226	1.0
m5	mS	7	2	0.8	1000	0.0221354583333	1.0	1.0	1.0	1.0
